,precision,recall,f1-score,support
C7,1.0,1.0,1.0,126.0
LASI,0.9752066115702479,0.9833333333333333,0.979253112033195,120.0
LCONDE,0.85,0.9272727272727272,0.8869565217391304,110.0
LCONDI,0.9494949494949495,0.8245614035087719,0.8826291079812206,114.0
LELB,0.9854014598540146,0.9782608695652174,0.9818181818181818,138.0
LHEE,0.968503937007874,0.9318181818181818,0.9498069498069498,132.0
LHLX,0.923728813559322,0.8650793650793651,0.8934426229508197,126.0
LMALE,0.9327731092436975,0.9487179487179487,0.940677966101695,117.0
LMALI,0.923728813559322,0.990909090909091,0.956140350877193,110.0
LMETA1,0.8541666666666666,0.8978102189781022,0.8754448398576512,137.0
LMETA5,0.9595959595959596,0.9405940594059405,0.95,101.0
LPER,0.8983050847457628,0.8983050847457628,0.8983050847457628,118.0
LPSI,0.9826086956521739,0.9912280701754386,0.9868995633187773,114.0
LSHO,0.991304347826087,1.0,0.9956331877729258,114.0
LTHI,0.9883720930232558,0.9659090909090909,0.9770114942528736,88.0
LTTA,0.9230769230769231,0.972972972972973,0.9473684210526315,111.0
LWRA,0.8583333333333333,0.9279279279279279,0.8917748917748918,111.0
LWRB,0.926605504587156,0.8559322033898306,0.8898678414096917,118.0
RASI,1.0,0.9926470588235294,0.996309963099631,136.0
RCONDE,0.9186991869918699,0.9495798319327731,0.9338842975206612,119.0
RCONDI,0.9130434782608695,0.8076923076923077,0.8571428571428571,104.0
RELB,0.9838709677419355,1.0,0.991869918699187,122.0
RHEE,0.9827586206896551,0.95,0.9661016949152542,120.0
RHLX,0.9669421487603306,0.9,0.9322709163346613,130.0
RMALE,0.9148936170212766,0.9555555555555556,0.9347826086956522,135.0
RMALI,0.96,0.9836065573770492,0.97165991902834,122.0
RMETA1,0.9098360655737705,0.9652173913043478,0.9367088607594937,115.0
RMETA5,0.92,0.9583333333333334,0.9387755102040817,120.0
RPER,0.9043478260869565,0.9043478260869565,0.9043478260869565,115.0
RPSI,1.0,0.9705882352941176,0.9850746268656716,102.0
RSHO,0.990990990990991,1.0,0.995475113122172,110.0
RTECH,0.9,0.9204545454545454,0.9101123595505618,88.0
RTHI,0.9895833333333334,0.9595959595959596,0.9743589743589743,99.0
RTTA,0.9024390243902439,0.8951612903225806,0.8987854251012146,124.0
RWRA,0.8345864661654135,0.9327731092436975,0.8809523809523809,119.0
RWRB,0.9298245614035088,0.828125,0.8760330578512396,128.0
accuracy,0.9380488962734393,0.9380488962734393,0.9380488962734393,0.9380488962734393
macro avg,0.9392506275057472,0.9381752930757349,0.9379910124384049,4213.0
weighted avg,0.9391814030472456,0.9380488962734393,0.9378965261072735,4213.0
